Driver,Stint,Compound,GP,Year,StintLength
GAS,1,MEDIUM,Australian Grand Prix,2019,37
GAS,2,SOFT,Australian Grand Prix,2019,20
PER,1,SOFT,Australian Grand Prix,2019,13
PER,2,HARD,Australian Grand Prix,2019,44
LEC,1,SOFT,Australian Grand Prix,2019,28
LEC,2,HARD,Australian Grand Prix,2019,30
STR,1,MEDIUM,Australian Grand Prix,2019,27
STR,2,HARD,Australian Grand Prix,2019,30
MAG,1,SOFT,Australian Grand Prix,2019,14
MAG,2,MEDIUM,Australian Grand Prix,2019,44
ALB,1,SOFT,Australian Grand Prix,2019,14
ALB,2,MEDIUM,Australian Grand Prix,2019,43
KVY,1,MEDIUM,Australian Grand Prix,2019,26
KVY,2,HARD,Australian Grand Prix,2019,31
HUL,1,SOFT,Australian Grand Prix,2019,13
HUL,2,HARD,Australian Grand Prix,2019,44
RIC,1,SOFT,Australian Grand Prix,2019,1
RIC,2,HARD,Australian Grand Prix,2019,28
VER,1,SOFT,Australian Grand Prix,2019,25
VER,2,MEDIUM,Australian Grand Prix,2019,33
NOR,1,SOFT,Australian Grand Prix,2019,15
NOR,2,HARD,Australian Grand Prix,2019,42
HAM,1,SOFT,Australian Grand Prix,2019,15
HAM,2,MEDIUM,Australian Grand Prix,2019,43
VET,1,SOFT,Australian Grand Prix,2019,14
VET,2,MEDIUM,Australian Grand Prix,2019,44
SAI,1,SOFT,Australian Grand Prix,2019,10
RUS,1,MEDIUM,Australian Grand Prix,2019,26
RUS,2,SOFT,Australian Grand Prix,2019,16
RUS,3,HARD,Australian Grand Prix,2019,14
RAI,1,SOFT,Australian Grand Prix,2019,12
RAI,2,MEDIUM,Australian Grand Prix,2019,45
BOT,1,SOFT,Australian Grand Prix,2019,23
BOT,2,MEDIUM,Australian Grand Prix,2019,35
GRO,1,SOFT,Australian Grand Prix,2019,15
GRO,2,MEDIUM,Australian Grand Prix,2019,15
KUB,1,HARD,Australian Grand Prix,2019,1
KUB,2,MEDIUM,Australian Grand Prix,2019,27
KUB,3,SOFT,Australian Grand Prix,2019,16
KUB,4,SOFT,Australian Grand Prix,2019,11
GIO,1,MEDIUM,Australian Grand Prix,2019,27
GIO,2,SOFT,Australian Grand Prix,2019,30
GAS,1,SOFT,Bahrain Grand Prix,2019,9
GAS,2,SOFT,Bahrain Grand Prix,2019,30
GAS,3,MEDIUM,Bahrain Grand Prix,2019,18
PER,1,SOFT,Bahrain Grand Prix,2019,8
PER,2,MEDIUM,Bahrain Grand Prix,2019,25
PER,3,MEDIUM,Bahrain Grand Prix,2019,24
LEC,1,SOFT,Bahrain Grand Prix,2019,13
LEC,2,MEDIUM,Bahrain Grand Prix,2019,23
LEC,3,MEDIUM,Bahrain Grand Prix,2019,21
STR,1,SOFT,Bahrain Grand Prix,2019,1
STR,2,MEDIUM,Bahrain Grand Prix,2019,22
STR,3,MEDIUM,Bahrain Grand Prix,2019,33
MAG,1,SOFT,Bahrain Grand Prix,2019,10
MAG,2,MEDIUM,Bahrain Grand Prix,2019,28
MAG,3,SOFT,Bahrain Grand Prix,2019,18
ALB,1,SOFT,Bahrain Grand Prix,2019,9
ALB,2,SOFT,Bahrain Grand Prix,2019,16
ALB,3,MEDIUM,Bahrain Grand Prix,2019,32
KVY,1,SOFT,Bahrain Grand Prix,2019,12
KVY,2,MEDIUM,Bahrain Grand Prix,2019,26
KVY,3,SOFT,Bahrain Grand Prix,2019,18
HUL,1,SOFT,Bahrain Grand Prix,2019,12
HUL,2,SOFT,Bahrain Grand Prix,2019,20
HUL,3,MEDIUM,Bahrain Grand Prix,2019,22
RIC,1,SOFT,Bahrain Grand Prix,2019,24
RIC,2,MEDIUM,Bahrain Grand Prix,2019,30
VER,1,SOFT,Bahrain Grand Prix,2019,11
VER,2,MEDIUM,Bahrain Grand Prix,2019,21
VER,3,MEDIUM,Bahrain Grand Prix,2019,25
NOR,1,SOFT,Bahrain Grand Prix,2019,10
NOR,2,MEDIUM,Bahrain Grand Prix,2019,24
NOR,3,SOFT,Bahrain Grand Prix,2019,23
HAM,1,SOFT,Bahrain Grand Prix,2019,13
HAM,2,SOFT,Bahrain Grand Prix,2019,21
HAM,3,MEDIUM,Bahrain Grand Prix,2019,23
VET,1,SOFT,Bahrain Grand Prix,2019,14
VET,2,MEDIUM,Bahrain Grand Prix,2019,21
VET,3,MEDIUM,Bahrain Grand Prix,2019,3
VET,4,SOFT,Bahrain Grand Prix,2019,19
SAI,1,SOFT,Bahrain Grand Prix,2019,4
SAI,2,MEDIUM,Bahrain Grand Prix,2019,20
SAI,3,HARD,Bahrain Grand Prix,2019,16
SAI,4,SOFT,Bahrain Grand Prix,2019,13
RUS,1,SOFT,Bahrain Grand Prix,2019,12
RUS,2,MEDIUM,Bahrain Grand Prix,2019,14
RUS,3,MEDIUM,Bahrain Grand Prix,2019,30
RAI,1,SOFT,Bahrain Grand Prix,2019,9
RAI,2,MEDIUM,Bahrain Grand Prix,2019,24
RAI,3,SOFT,Bahrain Grand Prix,2019,24
BOT,1,SOFT,Bahrain Grand Prix,2019,12
BOT,2,MEDIUM,Bahrain Grand Prix,2019,27
BOT,3,SOFT,Bahrain Grand Prix,2019,18
GRO,1,SOFT,Bahrain Grand Prix,2019,1
GRO,2,MEDIUM,Bahrain Grand Prix,2019,15
KUB,1,MEDIUM,Bahrain Grand Prix,2019,11
KUB,2,SOFT,Bahrain Grand Prix,2019,16
KUB,3,MEDIUM,Bahrain Grand Prix,2019,28
GIO,1,SOFT,Bahrain Grand Prix,2019,16
GIO,2,MEDIUM,Bahrain Grand Prix,2019,25
GIO,3,SOFT,Bahrain Grand Prix,2019,16
HAM,1,MEDIUM,Chinese Grand Prix,2019,22
HAM,2,HARD,Chinese Grand Prix,2019,14
HAM,3,MEDIUM,Chinese Grand Prix,2019,20
BOT,1,MEDIUM,Chinese Grand Prix,2019,21
BOT,2,HARD,Chinese Grand Prix,2019,15
BOT,3,MEDIUM,Chinese Grand Prix,2019,20
VET,1,MEDIUM,Chinese Grand Prix,2019,18
VET,2,HARD,Chinese Grand Prix,2019,17
VET,3,MEDIUM,Chinese Grand Prix,2019,21
VER,1,MEDIUM,Chinese Grand Prix,2019,17
VER,2,HARD,Chinese Grand Prix,2019,17
VER,3,MEDIUM,Chinese Grand Prix,2019,22
LEC,1,MEDIUM,Chinese Grand Prix,2019,22
LEC,2,HARD,Chinese Grand Prix,2019,20
LEC,3,MEDIUM,Chinese Grand Prix,2019,14
GAS,1,SOFT,Chinese Grand Prix,2019,19
GAS,2,HARD,Chinese Grand Prix,2019,20
GAS,3,MEDIUM,Chinese Grand Prix,2019,14
GAS,4,SOFT,Chinese Grand Prix,2019,3
RIC,1,SOFT,Chinese Grand Prix,2019,18
RIC,2,HARD,Chinese Grand Prix,2019,37
PER,1,MEDIUM,Chinese Grand Prix,2019,20
PER,2,HARD,Chinese Grand Prix,2019,35
RAI,1,MEDIUM,Chinese Grand Prix,2019,25
RAI,2,HARD,Chinese Grand Prix,2019,30
ALB,1,SOFT,Chinese Grand Prix,2019,19
ALB,2,HARD,Chinese Grand Prix,2019,36
GRO,1,SOFT,Chinese Grand Prix,2019,8
GRO,2,HARD,Chinese Grand Prix,2019,27
GRO,3,MEDIUM,Chinese Grand Prix,2019,20
STR,1,MEDIUM,Chinese Grand Prix,2019,20
STR,2,HARD,Chinese Grand Prix,2019,24
STR,3,SOFT,Chinese Grand Prix,2019,11
MAG,1,SOFT,Chinese Grand Prix,2019,9
MAG,2,HARD,Chinese Grand Prix,2019,24
MAG,3,MEDIUM,Chinese Grand Prix,2019,22
SAI,1,MEDIUM,Chinese Grand Prix,2019,1
SAI,2,HARD,Chinese Grand Prix,2019,35
SAI,3,SOFT,Chinese Grand Prix,2019,19
GIO,1,SOFT,Chinese Grand Prix,2019,7
GIO,2,MEDIUM,Chinese Grand Prix,2019,23
GIO,3,MEDIUM,Chinese Grand Prix,2019,25
RUS,1,MEDIUM,Chinese Grand Prix,2019,22
RUS,2,HARD,Chinese Grand Prix,2019,27
RUS,3,SOFT,Chinese Grand Prix,2019,5
KUB,1,MEDIUM,Chinese Grand Prix,2019,26
KUB,2,HARD,Chinese Grand Prix,2019,28
NOR,1,MEDIUM,Chinese Grand Prix,2019,1
NOR,2,HARD,Chinese Grand Prix,2019,16
NOR,3,MEDIUM,Chinese Grand Prix,2019,17
NOR,4,SOFT,Chinese Grand Prix,2019,16
KVY,1,MEDIUM,Chinese Grand Prix,2019,7
KVY,2,MEDIUM,Chinese Grand Prix,2019,18
KVY,3,HARD,Chinese Grand Prix,2019,5
KVY,4,SOFT,Chinese Grand Prix,2019,11
HUL,1,SOFT,Chinese Grand Prix,2019,11
HUL,2,HARD,Chinese Grand Prix,2019,5
GAS,1,MEDIUM,Azerbaijan Grand Prix,2019,39
PER,1,SOFT,Azerbaijan Grand Prix,2019,10
PER,2,MEDIUM,Azerbaijan Grand Prix,2019,41
LEC,1,MEDIUM,Azerbaijan Grand Prix,2019,34
LEC,2,SOFT,Azerbaijan Grand Prix,2019,13
LEC,3,SOFT,Azerbaijan Grand Prix,2019,4
STR,1,SOFT,Azerbaijan Grand Prix,2019,10
STR,2,MEDIUM,Azerbaijan Grand Prix,2019,41
MAG,1,SOFT,Azerbaijan Grand Prix,2019,7
MAG,2,MEDIUM,Azerbaijan Grand Prix,2019,32
MAG,3,SOFT,Azerbaijan Grand Prix,2019,11
ALB,1,SOFT,Azerbaijan Grand Prix,2019,12
ALB,2,MEDIUM,Azerbaijan Grand Prix,2019,38
KVY,1,SOFT,Azerbaijan Grand Prix,2019,5
KVY,2,MEDIUM,Azerbaijan Grand Prix,2019,28
HUL,1,SOFT,Azerbaijan Grand Prix,2019,8
HUL,2,MEDIUM,Azerbaijan Grand Prix,2019,26
HUL,3,SOFT,Azerbaijan Grand Prix,2019,16
RIC,1,SOFT,Azerbaijan Grand Prix,2019,10
RIC,2,MEDIUM,Azerbaijan Grand Prix,2019,21
VER,1,SOFT,Azerbaijan Grand Prix,2019,14
VER,2,MEDIUM,Azerbaijan Grand Prix,2019,37
NOR,1,SOFT,Azerbaijan Grand Prix,2019,9
NOR,2,MEDIUM,Azerbaijan Grand Prix,2019,30
NOR,3,SOFT,Azerbaijan Grand Prix,2019,12
HAM,1,SOFT,Azerbaijan Grand Prix,2019,13
HAM,2,MEDIUM,Azerbaijan Grand Prix,2019,38
VET,1,SOFT,Azerbaijan Grand Prix,2019,11
VET,2,MEDIUM,Azerbaijan Grand Prix,2019,40
SAI,1,SOFT,Azerbaijan Grand Prix,2019,12
SAI,2,MEDIUM,Azerbaijan Grand Prix,2019,39
RUS,1,MEDIUM,Azerbaijan Grand Prix,2019,25
RUS,2,MEDIUM,Azerbaijan Grand Prix,2019,13
RUS,3,SOFT,Azerbaijan Grand Prix,2019,11
RAI,1,SOFT,Azerbaijan Grand Prix,2019,6
RAI,2,MEDIUM,Azerbaijan Grand Prix,2019,44
BOT,1,SOFT,Azerbaijan Grand Prix,2019,12
BOT,2,MEDIUM,Azerbaijan Grand Prix,2019,39
GRO,1,MEDIUM,Azerbaijan Grand Prix,2019,34
GRO,2,SOFT,Azerbaijan Grand Prix,2019,4
KUB,1,MEDIUM,Azerbaijan Grand Prix,2019,14
KUB,2,MEDIUM,Azerbaijan Grand Prix,2019,9
KUB,3,MEDIUM,Azerbaijan Grand Prix,2019,19
KUB,4,SOFT,Azerbaijan Grand Prix,2019,7
GIO,1,SOFT,Azerbaijan Grand Prix,2019,7
GIO,2,MEDIUM,Azerbaijan Grand Prix,2019,43
GAS,1,SOFT,Spanish Grand Prix,2019,22
GAS,2,MEDIUM,Spanish Grand Prix,2019,24
GAS,3,SOFT,Spanish Grand Prix,2019,20
PER,1,SOFT,Spanish Grand Prix,2019,24
PER,2,MEDIUM,Spanish Grand Prix,2019,21
PER,3,SOFT,Spanish Grand Prix,2019,21
LEC,1,SOFT,Spanish Grand Prix,2019,25
LEC,2,HARD,Spanish Grand Prix,2019,21
LEC,3,MEDIUM,Spanish Grand Prix,2019,20
STR,1,MEDIUM,Spanish Grand Prix,2019,22
STR,2,SOFT,Spanish Grand Prix,2019,23
MAG,1,SOFT,Spanish Grand Prix,2019,23
MAG,2,MEDIUM,Spanish Grand Prix,2019,22
MAG,3,SOFT,Spanish Grand Prix,2019,21
ALB,1,SOFT,Spanish Grand Prix,2019,25
ALB,2,MEDIUM,Spanish Grand Prix,2019,20
ALB,3,MEDIUM,Spanish Grand Prix,2019,21
KVY,1,SOFT,Spanish Grand Prix,2019,21
KVY,2,MEDIUM,Spanish Grand Prix,2019,24
KVY,3,MEDIUM,Spanish Grand Prix,2019,21
HUL,1,MEDIUM,Spanish Grand Prix,2019,35
HUL,2,SOFT,Spanish Grand Prix,2019,31
RIC,1,SOFT,Spanish Grand Prix,2019,24
RIC,2,HARD,Spanish Grand Prix,2019,21
RIC,3,MEDIUM,Spanish Grand Prix,2019,21
VER,1,SOFT,Spanish Grand Prix,2019,20
VER,2,SOFT,Spanish Grand Prix,2019,23
VER,3,MEDIUM,Spanish Grand Prix,2019,23
NOR,1,SOFT,Spanish Grand Prix,2019,26
NOR,2,MEDIUM,Spanish Grand Prix,2019,19
HAM,1,SOFT,Spanish Grand Prix,2019,27
HAM,2,MEDIUM,Spanish Grand Prix,2019,19
HAM,3,SOFT,Spanish Grand Prix,2019,20
VET,1,SOFT,Spanish Grand Prix,2019,19
VET,2,MEDIUM,Spanish Grand Prix,2019,21
VET,3,MEDIUM,Spanish Grand Prix,2019,26
SAI,1,SOFT,Spanish Grand Prix,2019,24
SAI,2,MEDIUM,Spanish Grand Prix,2019,22
SAI,3,SOFT,Spanish Grand Prix,2019,20
RUS,1,MEDIUM,Spanish Grand Prix,2019,32
RUS,2,SOFT,Spanish Grand Prix,2019,12
RUS,3,MEDIUM,Spanish Grand Prix,2019,21
RAI,1,MEDIUM,Spanish Grand Prix,2019,28
RAI,2,HARD,Spanish Grand Prix,2019,17
RAI,3,SOFT,Spanish Grand Prix,2019,21
BOT,1,SOFT,Spanish Grand Prix,2019,26
BOT,2,MEDIUM,Spanish Grand Prix,2019,19
BOT,3,SOFT,Spanish Grand Prix,2019,21
GRO,1,SOFT,Spanish Grand Prix,2019,26
GRO,2,MEDIUM,Spanish Grand Prix,2019,20
GRO,3,SOFT,Spanish Grand Prix,2019,20
KUB,1,MEDIUM,Spanish Grand Prix,2019,31
KUB,2,SOFT,Spanish Grand Prix,2019,13
KUB,3,MEDIUM,Spanish Grand Prix,2019,21
GIO,1,SOFT,Spanish Grand Prix,2019,6
GIO,2,HARD,Spanish Grand Prix,2019,35
GIO,3,SOFT,Spanish Grand Prix,2019,25
HAM,1,SOFT,Monaco Grand Prix,2019,11
HAM,2,MEDIUM,Monaco Grand Prix,2019,67
VET,1,SOFT,Monaco Grand Prix,2019,11
VET,2,HARD,Monaco Grand Prix,2019,67
BOT,1,SOFT,Monaco Grand Prix,2019,11
BOT,2,MEDIUM,Monaco Grand Prix,2019,1
BOT,3,HARD,Monaco Grand Prix,2019,66
VER,1,SOFT,Monaco Grand Prix,2019,11
VER,2,HARD,Monaco Grand Prix,2019,67
GAS,1,SOFT,Monaco Grand Prix,2019,27
GAS,2,MEDIUM,Monaco Grand Prix,2019,35
GAS,3,SOFT,Monaco Grand Prix,2019,16
SAI,1,SOFT,Monaco Grand Prix,2019,30
SAI,2,MEDIUM,Monaco Grand Prix,2019,48
KVY,1,SOFT,Monaco Grand Prix,2019,32
KVY,2,MEDIUM,Monaco Grand Prix,2019,46
ALB,1,SOFT,Monaco Grand Prix,2019,40
ALB,2,MEDIUM,Monaco Grand Prix,2019,38
RIC,1,SOFT,Monaco Grand Prix,2019,11
RIC,2,MEDIUM,Monaco Grand Prix,2019,67
GRO,1,SOFT,Monaco Grand Prix,2019,50
GRO,2,MEDIUM,Monaco Grand Prix,2019,28
NOR,1,MEDIUM,Monaco Grand Prix,2019,47
NOR,2,SOFT,Monaco Grand Prix,2019,31
PER,1,MEDIUM,Monaco Grand Prix,2019,11
PER,2,HARD,Monaco Grand Prix,2019,66
HUL,1,MEDIUM,Monaco Grand Prix,2019,9
HUL,2,HARD,Monaco Grand Prix,2019,68
MAG,1,SOFT,Monaco Grand Prix,2019,11
MAG,2,MEDIUM,Monaco Grand Prix,2019,66
RUS,1,MEDIUM,Monaco Grand Prix,2019,10
RUS,2,HARD,Monaco Grand Prix,2019,67
STR,1,MEDIUM,Monaco Grand Prix,2019,40
STR,2,HARD,Monaco Grand Prix,2019,37
RAI,1,SOFT,Monaco Grand Prix,2019,46
RAI,2,MEDIUM,Monaco Grand Prix,2019,31
KUB,1,MEDIUM,Monaco Grand Prix,2019,21
KUB,2,HARD,Monaco Grand Prix,2019,56
GIO,1,SOFT,Monaco Grand Prix,2019,44
GIO,2,MEDIUM,Monaco Grand Prix,2019,32
LEC,1,MEDIUM,Monaco Grand Prix,2019,9
LEC,2,HARD,Monaco Grand Prix,2019,7
LEC,3,SOFT,Monaco Grand Prix,2019,1
GAS,1,SOFT,Canadian Grand Prix,2019,7
GAS,2,HARD,Canadian Grand Prix,2019,62
PER,1,MEDIUM,Canadian Grand Prix,2019,11
PER,2,HARD,Canadian Grand Prix,2019,58
LEC,1,MEDIUM,Canadian Grand Prix,2019,33
LEC,2,HARD,Canadian Grand Prix,2019,37
STR,1,HARD,Canadian Grand Prix,2019,45
STR,2,MEDIUM,Canadian Grand Prix,2019,24
MAG,1,HARD,Canadian Grand Prix,2019,39
MAG,2,MEDIUM,Canadian Grand Prix,2019,29
ALB,1,MEDIUM,Canadian Grand Prix,2019,1
ALB,2,HARD,Canadian Grand Prix,2019,59
KVY,1,MEDIUM,Canadian Grand Prix,2019,12
KVY,2,HARD,Canadian Grand Prix,2019,57
HUL,1,SOFT,Canadian Grand Prix,2019,16
HUL,2,HARD,Canadian Grand Prix,2019,53
RIC,1,SOFT,Canadian Grand Prix,2019,8
RIC,2,HARD,Canadian Grand Prix,2019,61
VER,1,HARD,Canadian Grand Prix,2019,48
VER,2,MEDIUM,Canadian Grand Prix,2019,22
NOR,1,SOFT,Canadian Grand Prix,2019,9
HAM,1,MEDIUM,Canadian Grand Prix,2019,28
HAM,2,HARD,Canadian Grand Prix,2019,42
VET,1,MEDIUM,Canadian Grand Prix,2019,26
VET,2,HARD,Canadian Grand Prix,2019,44
SAI,1,SOFT,Canadian Grand Prix,2019,4
SAI,2,HARD,Canadian Grand Prix,2019,65
RUS,1,MEDIUM,Canadian Grand Prix,2019,9
RUS,2,HARD,Canadian Grand Prix,2019,59
RAI,1,MEDIUM,Canadian Grand Prix,2019,6
RAI,2,HARD,Canadian Grand Prix,2019,52
RAI,3,SOFT,Canadian Grand Prix,2019,11
BOT,1,MEDIUM,Canadian Grand Prix,2019,30
BOT,2,HARD,Canadian Grand Prix,2019,37
BOT,3,SOFT,Canadian Grand Prix,2019,3
GRO,1,MEDIUM,Canadian Grand Prix,2019,34
GRO,2,HARD,Canadian Grand Prix,2019,35
KUB,1,MEDIUM,Canadian Grand Prix,2019,9
KUB,2,HARD,Canadian Grand Prix,2019,29
KUB,3,HARD,Canadian Grand Prix,2019,29
GIO,1,HARD,Canadian Grand Prix,2019,33
GIO,2,MEDIUM,Canadian Grand Prix,2019,36
HAM,1,MEDIUM,French Grand Prix,2019,24
HAM,2,HARD,French Grand Prix,2019,29
BOT,1,MEDIUM,French Grand Prix,2019,23
BOT,2,HARD,French Grand Prix,2019,30
LEC,1,MEDIUM,French Grand Prix,2019,21
LEC,2,HARD,French Grand Prix,2019,32
VER,1,MEDIUM,French Grand Prix,2019,20
VER,2,HARD,French Grand Prix,2019,33
VET,1,MEDIUM,French Grand Prix,2019,25
VET,2,HARD,French Grand Prix,2019,26
VET,3,SOFT,French Grand Prix,2019,2
SAI,1,MEDIUM,French Grand Prix,2019,19
SAI,2,HARD,French Grand Prix,2019,34
RAI,1,HARD,French Grand Prix,2019,31
RAI,2,MEDIUM,French Grand Prix,2019,21
HUL,1,HARD,French Grand Prix,2019,34
HUL,2,MEDIUM,French Grand Prix,2019,18
NOR,1,MEDIUM,French Grand Prix,2019,18
NOR,2,HARD,French Grand Prix,2019,34
GAS,1,SOFT,French Grand Prix,2019,17
GAS,2,HARD,French Grand Prix,2019,35
RIC,1,MEDIUM,French Grand Prix,2019,16
RIC,2,HARD,French Grand Prix,2019,36
PER,1,MEDIUM,French Grand Prix,2019,18
PER,2,HARD,French Grand Prix,2019,34
STR,1,HARD,French Grand Prix,2019,39
STR,2,MEDIUM,French Grand Prix,2019,13
KVY,1,HARD,French Grand Prix,2019,32
KVY,2,MEDIUM,French Grand Prix,2019,20
ALB,1,MEDIUM,French Grand Prix,2019,25
ALB,2,HARD,French Grand Prix,2019,27
GIO,1,SOFT,French Grand Prix,2019,7
GIO,2,HARD,French Grand Prix,2019,27
GIO,3,MEDIUM,French Grand Prix,2019,18
MAG,1,MEDIUM,French Grand Prix,2019,16
MAG,2,HARD,French Grand Prix,2019,36
KUB,1,MEDIUM,French Grand Prix,2019,24
KUB,2,HARD,French Grand Prix,2019,27
RUS,1,MEDIUM,French Grand Prix,2019,25
RUS,2,HARD,French Grand Prix,2019,8
RUS,3,MEDIUM,French Grand Prix,2019,18
GRO,1,HARD,French Grand Prix,2019,31
GRO,2,MEDIUM,French Grand Prix,2019,14
VER,1,MEDIUM,Austrian Grand Prix,2019,31
VER,2,HARD,Austrian Grand Prix,2019,40
LEC,1,SOFT,Austrian Grand Prix,2019,22
LEC,2,HARD,Austrian Grand Prix,2019,49
BOT,1,MEDIUM,Austrian Grand Prix,2019,21
BOT,2,HARD,Austrian Grand Prix,2019,50
VET,1,SOFT,Austrian Grand Prix,2019,21
VET,2,HARD,Austrian Grand Prix,2019,29
VET,3,SOFT,Austrian Grand Prix,2019,21
HAM,1,MEDIUM,Austrian Grand Prix,2019,30
HAM,2,HARD,Austrian Grand Prix,2019,41
NOR,1,SOFT,Austrian Grand Prix,2019,25
NOR,2,MEDIUM,Austrian Grand Prix,2019,45
GAS,1,SOFT,Austrian Grand Prix,2019,25
GAS,2,HARD,Austrian Grand Prix,2019,45
SAI,1,MEDIUM,Austrian Grand Prix,2019,41
SAI,2,HARD,Austrian Grand Prix,2019,29
RAI,1,SOFT,Austrian Grand Prix,2019,23
RAI,2,HARD,Austrian Grand Prix,2019,47
GIO,1,SOFT,Austrian Grand Prix,2019,24
GIO,2,HARD,Austrian Grand Prix,2019,46
PER,1,MEDIUM,Austrian Grand Prix,2019,28
PER,2,HARD,Austrian Grand Prix,2019,42
RIC,1,MEDIUM,Austrian Grand Prix,2019,46
RIC,2,SOFT,Austrian Grand Prix,2019,24
HUL,1,MEDIUM,Austrian Grand Prix,2019,26
HUL,2,HARD,Austrian Grand Prix,2019,44
STR,1,MEDIUM,Austrian Grand Prix,2019,25
STR,2,HARD,Austrian Grand Prix,2019,45
ALB,1,MEDIUM,Austrian Grand Prix,2019,35
ALB,2,HARD,Austrian Grand Prix,2019,35
GRO,1,MEDIUM,Austrian Grand Prix,2019,34
GRO,2,HARD,Austrian Grand Prix,2019,36
KVY,1,MEDIUM,Austrian Grand Prix,2019,32
KVY,2,HARD,Austrian Grand Prix,2019,38
RUS,1,MEDIUM,Austrian Grand Prix,2019,27
RUS,2,HARD,Austrian Grand Prix,2019,42
MAG,1,SOFT,Austrian Grand Prix,2019,11
MAG,2,HARD,Austrian Grand Prix,2019,2
MAG,3,HARD,Austrian Grand Prix,2019,49
MAG,4,SOFT,Austrian Grand Prix,2019,7
KUB,1,MEDIUM,Austrian Grand Prix,2019,19
KUB,2,HARD,Austrian Grand Prix,2019,49
GAS,1,MEDIUM,British Grand Prix,2019,12
GAS,2,HARD,British Grand Prix,2019,40
PER,1,MEDIUM,British Grand Prix,2019,18
PER,2,HARD,British Grand Prix,2019,6
PER,3,SOFT,British Grand Prix,2019,22
PER,4,SOFT,British Grand Prix,2019,5
LEC,1,SOFT,British Grand Prix,2019,13
LEC,2,MEDIUM,British Grand Prix,2019,8
LEC,3,HARD,British Grand Prix,2019,31
STR,1,MEDIUM,British Grand Prix,2019,13
STR,2,HARD,British Grand Prix,2019,26
STR,3,SOFT,British Grand Prix,2019,13
MAG,1,SOFT,British Grand Prix,2019,1
MAG,2,HARD,British Grand Prix,2019,5
ALB,1,SOFT,British Grand Prix,2019,13
ALB,2,MEDIUM,British Grand Prix,2019,39
KVY,1,SOFT,British Grand Prix,2019,12
KVY,2,MEDIUM,British Grand Prix,2019,9
KVY,3,HARD,British Grand Prix,2019,31
HUL,1,SOFT,British Grand Prix,2019,13
HUL,2,HARD,British Grand Prix,2019,39
RIC,1,SOFT,British Grand Prix,2019,12
RIC,2,MEDIUM,British Grand Prix,2019,8
RIC,3,HARD,British Grand Prix,2019,32
VER,1,MEDIUM,British Grand Prix,2019,13
VER,2,MEDIUM,British Grand Prix,2019,7
VER,3,HARD,British Grand Prix,2019,32
NOR,1,SOFT,British Grand Prix,2019,13
NOR,2,MEDIUM,British Grand Prix,2019,22
NOR,3,HARD,British Grand Prix,2019,17
HAM,1,MEDIUM,British Grand Prix,2019,20
HAM,2,HARD,British Grand Prix,2019,32
VET,1,SOFT,British Grand Prix,2019,20
VET,2,HARD,British Grand Prix,2019,18
VET,3,MEDIUM,British Grand Prix,2019,13
SAI,1,MEDIUM,British Grand Prix,2019,20
SAI,2,HARD,British Grand Prix,2019,32
RUS,1,MEDIUM,British Grand Prix,2019,21
RUS,2,HARD,British Grand Prix,2019,30
RAI,1,MEDIUM,British Grand Prix,2019,17
RAI,2,HARD,British Grand Prix,2019,35
BOT,1,MEDIUM,British Grand Prix,2019,16
BOT,2,MEDIUM,British Grand Prix,2019,29
BOT,3,SOFT,British Grand Prix,2019,7
GRO,1,SOFT,British Grand Prix,2019,1
GRO,2,HARD,British Grand Prix,2019,8
KUB,1,MEDIUM,British Grand Prix,2019,20
KUB,2,HARD,British Grand Prix,2019,31
GIO,1,MEDIUM,British Grand Prix,2019,19
HAM,1,MEDIUM,Hungarian Grand Prix,2019,31
HAM,2,HARD,Hungarian Grand Prix,2019,18
HAM,3,MEDIUM,Hungarian Grand Prix,2019,21
VER,1,MEDIUM,Hungarian Grand Prix,2019,25
VER,2,HARD,Hungarian Grand Prix,2019,42
VER,3,SOFT,Hungarian Grand Prix,2019,3
VET,1,MEDIUM,Hungarian Grand Prix,2019,39
VET,2,SOFT,Hungarian Grand Prix,2019,31
LEC,1,MEDIUM,Hungarian Grand Prix,2019,27
LEC,2,HARD,Hungarian Grand Prix,2019,43
SAI,1,SOFT,Hungarian Grand Prix,2019,29
SAI,2,HARD,Hungarian Grand Prix,2019,40
GAS,1,MEDIUM,Hungarian Grand Prix,2019,28
GAS,2,HARD,Hungarian Grand Prix,2019,41
RAI,1,SOFT,Hungarian Grand Prix,2019,29
RAI,2,MEDIUM,Hungarian Grand Prix,2019,40
BOT,1,MEDIUM,Hungarian Grand Prix,2019,5
BOT,2,HARD,Hungarian Grand Prix,2019,41
BOT,3,MEDIUM,Hungarian Grand Prix,2019,23
NOR,1,SOFT,Hungarian Grand Prix,2019,28
NOR,2,HARD,Hungarian Grand Prix,2019,41
ALB,1,MEDIUM,Hungarian Grand Prix,2019,28
ALB,2,HARD,Hungarian Grand Prix,2019,41
PER,1,MEDIUM,Hungarian Grand Prix,2019,18
PER,2,HARD,Hungarian Grand Prix,2019,51
HUL,1,MEDIUM,Hungarian Grand Prix,2019,36
HUL,2,SOFT,Hungarian Grand Prix,2019,33
MAG,1,MEDIUM,Hungarian Grand Prix,2019,38
MAG,2,SOFT,Hungarian Grand Prix,2019,31
RIC,1,HARD,Hungarian Grand Prix,2019,46
RIC,2,SOFT,Hungarian Grand Prix,2019,23
